id,booking_time,room_type,price,reservation_type,check_in_time,check_out_time,adults,children,night_stay,name,country_code,identity_number,age,gender,phone,email
1,2021-03-26,Family,1000000,OTA-Booking.com,2021-04-18 16:00:00,2021-05-03 02:00:00,3,1,14,Guest 9315,ID,46432004,37,Male,+62-8446434,guest2144@example.com
2,2023-10-12,Presidential,3000000,OTA-Booking.com,2023-11-03 17:00:00,2023-11-10 04:00:00,4,1,6,Guest 5946,ID,48586086,30,Female,+62-3748523,guest2277@example.com
3,2024-05-04,Fancy,2000000,OTA-Traveloka,2024-05-06 17:00:00,2024-05-14 04:00:00,2,1,7,Guest 3542,TH,56256324,60,Male,+62-9672664,guest3156@example.com
4,2021-03-16,Fancy,2000000,OTA-Booking.com,2021-03-25 14:00:00,2021-03-31 22:00:00,2,0,6,Guest 8188,MY,81005328,38,Female,+62-4875219,guest5867@example.com
5,2020-08-02,Regular,1000000,OTA-Booking.com,2020-08-08 18:00:00,2020-08-19 02:00:00,3,0,10,Guest 9214,MY,49630387,52,Female,+62-3412417,guest5556@example.com
6,2023-11-15,Standard,500000,Group Travel Agent,2023-11-20 16:00:00,2023-12-03 00:00:00,1,2,12,Guest 5501,ID,26427355,43,Female,+62-9745243,guest6270@example.com
7,2020-10-20,Deluxe,1500000,OTA-Tiket.com,2020-10-24 15:00:00,2020-11-04 23:00:00,3,2,11,Guest 1356,SG,23974153,19,Female,+62-6608377,guest2033@example.com
8,2020-02-13,Presidential,3000000,Walk-in,2020-03-05 16:00:00,2020-03-16 00:00:00,3,1,10,Guest 8236,PH,87248978,34,Male,+62-1242847,guest5589@example.com
9,2020-05-14,Suite,2500000,OTA-Traveloka,2020-05-18 18:00:00,2020-05-21 02:00:00,3,2,2,Guest 1602,PH,23021194,23,Male,+62-3221846,guest9775@example.com
10,2022-08-11,Fancy,2000000,Walk-in,2022-08-18 18:00:00,2022-08-20 02:00:00,1,0,1,Guest 5801,TH,22232562,61,Female,+62-4967521,guest4840@example.com
11,2020-03-07,Standard,500000,Group Travel Agent,2020-04-04 15:00:00,2020-04-14 23:00:00,2,2,10,Guest 8195,TH,37139235,65,Male,+62-9423095,guest8564@example.com
12,2023-06-13,Regular,1000000,OTA-Tiket.com,2023-06-14 17:00:00,2023-06-22 00:00:00,1,1,7,Guest 1220,MY,47020486,64,Female,+62-6534807,guest3228@example.com
13,2024-10-22,Suite,2500000,OTA-Traveloka,2024-11-03 15:00:00,2024-11-05 02:00:00,4,1,1,Guest 8748,MY,70578863,24,Male,+62-5389563,guest1330@example.com
14,2022-01-25,Suite,2500000,Group Travel Agent,2022-02-17 16:00:00,2022-02-25 23:00:00,2,0,8,Guest 4576,SG,73744650,64,Female,+62-7541248,guest4399@example.com
15,2020-06-04,Regular,1000000,Walk-in,2020-06-30 14:00:00,2020-07-13 01:00:00,4,0,12,Guest 9947,ID,60054263,64,Male,+62-3892582,guest2482@example.com
16,2021-05-16,Standard,500000,Group Travel Agent,2021-05-31 15:00:00,2021-06-07 01:00:00,3,0,6,Guest 2852,SG,35627847,40,Female,+62-6322034,guest8887@example.com
17,2022-12-02,Fancy,2000000,Walk-in,2022-12-09 14:00:00,2022-12-16 23:00:00,2,2,7,Guest 5327,PH,98819934,40,Female,+62-7963637,guest6766@example.com
18,2024-06-24,Regular,1000000,Walk-in,2024-07-09 17:00:00,2024-07-24 04:00:00,4,2,14,Guest 5249,ID,13643498,31,Male,+62-5927256,guest5035@example.com
19,2024-12-25,Presidential,3000000,Group Travel Agent,2024-12-27 15:00:00,2025-01-08 01:00:00,4,1,11,Guest 9572,ID,40542455,62,Female,+62-8002507,guest4847@example.com
20,2020-11-15,Deluxe,1500000,Group Travel Agent,2020-12-08 14:00:00,2020-12-21 22:00:00,4,1,13,Guest 7864,ID,24608186,23,Male,+62-6236415,guest9942@example.com
21,2024-10-12,Regular,1000000,OTA-Booking.com,2024-10-17 18:00:00,2024-10-29 04:00:00,4,1,11,Guest 3392,SG,87976182,40,Female,+62-4951468,guest8021@example.com
22,2022-05-13,Deluxe,1500000,Walk-in,2022-05-29 14:00:00,2022-06-11 22:00:00,1,0,13,Guest 6241,PH,53397284,61,Male,+62-5446717,guest4930@example.com
23,2023-07-11,Standard,500000,OTA-Traveloka,2023-07-15 14:00:00,2023-07-18 21:00:00,4,2,3,Guest 8289,SG,41283217,48,Male,+62-9250413,guest7083@example.com
24,2022-01-01,Standard,500000,OTA-Booking.com,2022-01-29 15:00:00,2022-02-07 01:00:00,3,2,8,Guest 1373,TH,12385913,19,Female,+62-9115772,guest5515@example.com
25,2023-05-30,Family,1000000,Walk-in,2023-06-08 17:00:00,2023-06-19 04:00:00,2,0,10,Guest 2131,TH,40768362,53,Male,+62-8167603,guest7795@example.com
26,2023-02-18,Presidential,3000000,OTA-Traveloka,2023-03-17 15:00:00,2023-03-24 22:00:00,4,2,7,Guest 8518,PH,59111102,52,Male,+62-6962730,guest8284@example.com
27,2023-03-09,Standard,500000,Walk-in,2023-03-12 18:00:00,2023-03-17 02:00:00,4,2,4,Guest 6519,PH,32477441,22,Female,+62-4954379,guest8521@example.com
28,2022-03-04,Deluxe,1500000,Walk-in,2022-03-10 15:00:00,2022-03-12 00:00:00,2,0,1,Guest 5440,SG,67009623,50,Female,+62-9351524,guest8451@example.com
29,2021-05-23,Presidential,3000000,Group Travel Agent,2021-05-25 15:00:00,2021-06-08 23:00:00,4,0,14,Guest 1655,TH,40085064,44,Male,+62-9246263,guest2292@example.com
30,2023-06-07,Fancy,2000000,OTA-Tiket.com,2023-06-15 15:00:00,2023-06-16 23:00:00,2,0,1,Guest 8667,PH,76630507,48,Male,+62-4602924,guest1421@example.com
31,2023-02-13,Suite,2500000,Group Travel Agent,2023-03-09 15:00:00,2023-03-12 22:00:00,2,0,3,Guest 8627,ID,53875001,20,Male,+62-8224358,guest4859@example.com
32,2020-10-17,Presidential,3000000,Group Travel Agent,2020-10-21 14:00:00,2020-10-24 21:00:00,4,0,3,Guest 3658,ID,70100369,44,Female,+62-7027260,guest4107@example.com
33,2020-01-30,Suite,2500000,Group Travel Agent,2020-02-24 14:00:00,2020-03-03 01:00:00,4,0,7,Guest 1927,PH,50344477,20,Female,+62-4927051,guest8891@example.com
34,2024-10-03,Standard,500000,Group Travel Agent,2024-10-07 16:00:00,2024-10-12 03:00:00,3,1,4,Guest 8678,ID,40211533,45,Female,+62-1357710,guest5192@example.com
35,2023-11-14,Presidential,3000000,OTA-Tiket.com,2023-12-10 16:00:00,2023-12-21 23:00:00,1,1,11,Guest 6137,SG,32408966,65,Female,+62-6425144,guest6629@example.com
36,2023-02-03,Standard,500000,OTA-Traveloka,2023-02-28 14:00:00,2023-03-12 21:00:00,3,1,12,Guest 6359,MY,59794558,22,Female,+62-8933333,guest8961@example.com
37,2021-06-12,Family,1000000,Walk-in,2021-06-17 14:00:00,2021-06-25 21:00:00,4,0,8,Guest 4361,MY,87918667,42,Male,+62-8154261,guest9341@example.com
38,2022-06-08,Presidential,3000000,OTA-Booking.com,2022-06-19 16:00:00,2022-06-29 23:00:00,1,1,10,Guest 7092,MY,18940445,34,Male,+62-7848403,guest4976@example.com
39,2021-08-10,Suite,2500000,OTA-Tiket.com,2021-09-01 16:00:00,2021-09-05 00:00:00,4,2,3,Guest 2462,PH,25688816,36,Female,+62-3300843,guest8956@example.com
40,2020-06-17,Presidential,3000000,Walk-in,2020-07-11 16:00:00,2020-07-25 23:00:00,4,0,14,Guest 6193,ID,18943895,49,Female,+62-1912644,guest8020@example.com
41,2022-04-13,Regular,1000000,OTA-Traveloka,2022-04-14 14:00:00,2022-04-29 00:00:00,3,1,14,Guest 9074,ID,30445253,49,Male,+62-9344187,guest1845@example.com
42,2024-04-01,Fancy,2000000,OTA-Booking.com,2024-05-01 18:00:00,2024-05-15 04:00:00,3,0,13,Guest 3121,PH,74922500,29,Male,+62-3891249,guest8906@example.com
43,2023-07-12,Family,1000000,Walk-in,2023-08-04 15:00:00,2023-08-07 00:00:00,4,2,2,Guest 8711,ID,97805623,48,Female,+62-5060401,guest2705@example.com
44,2022-11-11,Standard,500000,Group Travel Agent,2022-12-07 15:00:00,2022-12-16 02:00:00,3,1,8,Guest 4914,SG,35162317,42,Male,+62-2235534,guest9815@example.com
45,2022-05-10,Standard,500000,Group Travel Agent,2022-06-03 18:00:00,2022-06-07 05:00:00,2,1,3,Guest 6193,ID,81225121,19,Female,+62-7868095,guest4173@example.com
46,2021-06-26,Standard,500000,OTA-Booking.com,2021-07-02 18:00:00,2021-07-15 05:00:00,3,2,12,Guest 4719,SG,16378759,19,Male,+62-1047593,guest9019@example.com
47,2024-10-31,Regular,1000000,Group Travel Agent,2024-11-02 14:00:00,2024-11-12 01:00:00,4,2,9,Guest 9130,TH,13371105,53,Female,+62-4942214,guest5976@example.com
48,2021-02-12,Fancy,2000000,OTA-Booking.com,2021-02-28 14:00:00,2021-03-08 22:00:00,2,0,8,Guest 1045,TH,33183664,39,Male,+62-2782315,guest2483@example.com
49,2021-04-19,Standard,500000,OTA-Booking.com,2021-05-06 15:00:00,2021-05-16 22:00:00,3,2,10,Guest 2628,SG,99896784,46,Male,+62-6816907,guest8652@example.com
50,2022-01-27,Presidential,3000000,OTA-Booking.com,2022-02-01 14:00:00,2022-02-08 21:00:00,2,1,7,Guest 7148,MY,93231551,47,Male,+62-6915067,guest9758@example.com
51,2022-07-10,Presidential,3000000,OTA-Booking.com,2022-07-28 15:00:00,2022-07-31 22:00:00,4,2,3,Guest 9339,SG,25951570,28,Male,+62-6753909,guest5940@example.com
52,2023-01-29,Regular,1000000,Walk-in,2023-02-14 18:00:00,2023-02-16 04:00:00,3,0,1,Guest 9315,ID,22478440,30,Male,+62-2856906,guest3508@example.com
53,2022-12-01,Regular,1000000,Group Travel Agent,2022-12-28 14:00:00,2023-01-04 22:00:00,3,0,7,Guest 5656,SG,71147594,61,Male,+62-7954588,guest3285@example.com
54,2023-11-10,Regular,1000000,OTA-Traveloka,2023-11-16 15:00:00,2023-11-24 01:00:00,1,0,7,Guest 6797,MY,58131681,34,Male,+62-8669122,guest5844@example.com
55,2021-05-08,Regular,1000000,Group Travel Agent,2021-05-30 15:00:00,2021-06-01 23:00:00,3,1,2,Guest 9408,TH,91117592,39,Female,+62-8912981,guest3075@example.com
56,2019-12-26,Regular,1000000,OTA-Tiket.com,2020-01-13 15:00:00,2020-01-22 22:00:00,2,1,9,Guest 1159,SG,36779522,61,Male,+62-2702007,guest4465@example.com
57,2023-01-12,Regular,1000000,Walk-in,2023-02-09 17:00:00,2023-02-16 04:00:00,4,0,6,Guest 3630,TH,81051786,18,Female,+62-3328814,guest4308@example.com
58,2021-07-03,Deluxe,1500000,OTA-Tiket.com,2021-07-04 14:00:00,2021-07-11 22:00:00,1,1,7,Guest 4969,ID,98329607,58,Female,+62-8574396,guest7417@example.com
59,2023-09-30,Suite,2500000,Group Travel Agent,2023-10-14 14:00:00,2023-10-19 00:00:00,3,1,4,Guest 2153,TH,88993037,63,Male,+62-3442124,guest2967@example.com
60,2021-08-30,Family,1000000,Group Travel Agent,2021-09-22 18:00:00,2021-10-03 04:00:00,1,2,10,Guest 7777,TH,56210893,31,Male,+62-4300796,guest9383@example.com
61,2023-06-05,Regular,1000000,OTA-Tiket.com,2023-07-01 15:00:00,2023-07-05 00:00:00,1,1,3,Guest 9358,SG,43209911,61,Male,+62-5477879,guest6149@example.com
62,2020-01-07,Family,1000000,OTA-Booking.com,2020-01-12 15:00:00,2020-01-24 00:00:00,2,1,11,Guest 2896,ID,80833787,62,Female,+62-3516574,guest6623@example.com
63,2024-11-29,Deluxe,1500000,OTA-Traveloka,2024-12-23 17:00:00,2025-01-01 02:00:00,2,0,8,Guest 1170,PH,17605662,25,Female,+62-7132980,guest9184@example.com
64,2023-05-23,Deluxe,1500000,OTA-Booking.com,2023-06-02 15:00:00,2023-06-13 02:00:00,3,1,10,Guest 8955,SG,28949690,29,Female,+62-2818093,guest6686@example.com
65,2022-04-16,Deluxe,1500000,Group Travel Agent,2022-04-30 14:00:00,2022-05-15 00:00:00,1,0,14,Guest 7035,TH,84177284,39,Female,+62-8722127,guest5286@example.com
66,2020-06-28,Family,1000000,OTA-Tiket.com,2020-07-27 18:00:00,2020-07-31 05:00:00,2,0,3,Guest 8437,PH,20533666,46,Female,+62-9789509,guest9340@example.com
67,2023-11-28,Deluxe,1500000,Group Travel Agent,2023-12-14 17:00:00,2023-12-26 03:00:00,3,0,11,Guest 4303,PH,84137558,22,Female,+62-2153736,guest7679@example.com
68,2019-12-26,Family,1000000,Walk-in,2020-01-21 16:00:00,2020-01-26 03:00:00,2,1,4,Guest 8281,MY,41992864,45,Male,+62-7285070,guest8475@example.com
69,2022-07-18,Regular,1000000,OTA-Traveloka,2022-08-13 14:00:00,2022-08-24 01:00:00,3,1,10,Guest 9500,MY,81639893,56,Male,+62-5546329,guest9088@example.com
70,2023-08-22,Regular,1000000,Walk-in,2023-09-20 14:00:00,2023-09-28 01:00:00,4,1,7,Guest 8167,ID,95091033,25,Female,+62-1800257,guest9365@example.com
71,2023-09-05,Deluxe,1500000,Walk-in,2023-09-27 18:00:00,2023-10-03 01:00:00,1,1,5,Guest 1128,SG,91910173,50,Female,+62-2021921,guest1635@example.com
72,2022-08-17,Presidential,3000000,OTA-Tiket.com,2022-08-18 15:00:00,2022-08-27 01:00:00,3,1,8,Guest 8814,PH,28202658,52,Female,+62-1809761,guest6350@example.com
73,2023-12-14,Presidential,3000000,Group Travel Agent,2024-01-05 18:00:00,2024-01-13 05:00:00,4,1,7,Guest 3044,PH,62341182,28,Male,+62-1443113,guest8369@example.com
74,2024-07-28,Family,1000000,Walk-in,2024-08-22 14:00:00,2024-08-30 23:00:00,3,0,8,Guest 4461,MY,13500713,62,Male,+62-3295943,guest4197@example.com
75,2023-02-24,Regular,1000000,OTA-Traveloka,2023-03-26 16:00:00,2023-04-06 00:00:00,4,2,10,Guest 3003,PH,81702551,50,Male,+62-3035964,guest4216@example.com
76,2022-09-27,Deluxe,1500000,Walk-in,2022-10-21 16:00:00,2022-10-27 01:00:00,3,2,5,Guest 1354,ID,87398269,63,Female,+62-6592709,guest4621@example.com
